"name","avg_salary","eFG","PER","tot_games","draft_round"
"Robin Lopez",6.5035194,"53.2","16.3",766,1
"Kevin Love",12.2202444,"50.2","21.9",657,1
"Kyle Lowry",7.78846841666667,"50.5","18.4",856,1
"Tyronn Lue",2.64166666666667,"49.4","13.2",554,1
"Shelvin Mack",1.8518525,"47.8","12.3",456,2
"Mark Madsen",1.92981785714286,"45.7","8.1",453,1
"Corey Maggette",8.3,"47.9","17.9",827,1
"Jamaal Magloire",4.01991888888889,"48.0","13.5",680,1
"Stephon Marbury",16.9359375,"47.0","18.7",846,1
"Shawn Marion",10.6403889166667,"51.0","18.8",1163,1
"Sean Marks",0.967163375,"45.2","9.1",230,2
"Donyell Marshall",4.75590357142857,"48.3","16.8",957,1
"Kenyon Martin",8.46918458333333,"48.7","15.0",757,1
"Kevin Martin",5.46907006666667,"50.2","17.7",714,1
"Desmond Mason",4.882166,"45.4","12.7",643,1
"Roger Mason",1.48438211111111,"50.9","10.9",518,2
"Jason Maxiell",2.8614821,"49.5","13.0",618,1
"Sean May",1.7536136,"46.0","14.9",119,1
"Eric Maynor",1.78580683333333,"44.2","10.6",267,1
"O.J. Mayo",5.768679625,"49.4","13.4",547,1
"Luc Mbah a Moute",2.6059307,"48.2","10.7",686,2
"Ray McCallum",0.401329,"44.7","11.0",154,2
"CJ McCollum",6.8890064,"52.2","17.2",411,1
"Antonio McDyess",5.00038354545455,"49.7","17.2",1015,1
"JaVale McGee",5.00893427272727,"57.0","19.5",633,1
"Dominic McGuire",0.522342375,"42.0","9.8",342,2
"Jeff McInnis",3.023918,"46.1","12.6",576,2
"Aaron McKie",4.35260925,"47.5","12.8",793,1
"Ben McLemore",3.6575444,"49.4","9.3",368,1
"Josh McRoberts",3.11714972727273,"51.3","13.2",433,2
"Jodie Meeks",3.04628711111111,"51.7","12.8",539,2
"Khris Middleton",7.7462865,"51.7","15.7",455,2
"Chris Mihm",3.19799083333333,"45.9","13.4",436,1
"Andre Miller",6.44491592857143,"46.8","17.4",1304,1
"Mike Miller",5.3559170625,"55.0","14.3",1032,1
"Patty Mills",3.166017375,"53.6","14.4",605,2
"Paul Millsap",10.2876084166667,"51.2","19.0",945,2
"Cuttino Mobley",7.65051785714286,"48.7","14.4",747,2
"Nazr Mohammed",4.17691753846154,"48.6","15.0",1005,1
"Greg Monroe",8.16380033333333,"51.4","20.1",632,1
"E'Twaun Moore",2.94429471428571,"52.4","11.4",515,2
"Marcus Morris",3.33411157142857,"50.1","13.2",545,1
"Markieff Morris",4.63761128571429,"48.7","14.1",579,1
"Alonzo Mourning",3.56459042857143,"52.9","21.2",838,1
"Shabazz Muhammad",1.75418633333333,"50.4","15.9",278,1
"Byron Mullens",1.3627626,"44.8","12.2",189,1
"Troy Murphy",6.3305705,"49.3","15.4",729,1
"Ronald Murray",1.32628185714286,"45.2","12.7",487,2
"Dikembe Mutombo",5.428011375,"51.8","17.2",1196,1
"Eduardo Najera",3.67248666666667,"50.3","12.0",619,2
"Steve Nash",10.106375,"55.6","20.0",1217,1
"Jameer Nelson",4.673758,"50.2","14.4",878,1
"Andrew Nicholson",2.62666933333333,"49.5","12.2",285,1
