"name","avg_salary","eFG","PER","tot_games","draft_round"
"Anthony Peeler",1.80805,"49.2","12.9",827,1
"Will Perdue",1.720825,"51.6","13.6",792,1
"Sam Perkins",2.6683,"49.4","15.5",1286,1
"Elliot Perry",1.1699,"48.3","14.3",549,2
"Tim Perry",1.15714285714286,"50.1","12.4",481,1
"Chuck Person",1.71939738461538,"50.8","13.7",943,1
"Wesley Person",3.379375,"54.1","14.1",733,1
"Bobby Phills",2.35609090909091,"48.2","14.1",467,2
"Eric Piatkowski",1.737625,"52.6","14.0",789,1
"Ricky Pierce",1.37888888888889,"50.7","17.7",969,1
"Ed Pinckney",0.982055555555555,"53.5","14.8",793,1
"Scottie Pippen",6.031862,"50.4","18.6",1178,1
"Scot Pollard",1.77670671428571,"49.4","13.8",506,1
"Olden Polynice",1.6475,"50.6","13.2",1058,1
"Mark Pope",0.43467,"41.9","6.4",153,2
"Terry Porter",1.88564285714286,"51.8","17.2",1274,1
"Vitaly Potapenko",2.74967666666667,"47.9","11.8",610,1
"Brent Price",1.640875,"52.1","13.3",418,2
"Mark Price",2.68499272727273,"53.0","19.6",722,2
"Blair Rasmussen",2.06121428571429,"47.3","13.3",532,1
"Theo Ratliff",4.70889985714286,"49.6","14.3",810,1
"Bryant Reeves",6.09127142857143,"47.5","13.8",395,1
"Khalid Reeves",1.28761557142857,"48.2","13.1",277,1
"Don Reid",0.715857142857143,"53.0","11.8",403,2
"J.R. Reid",1.57009090909091,"47.2","11.9",672,1
"Jerry Reynolds",0.985916666666667,"42.2","15.0",443,1
"Glen Rice",3.94145384615385,"50.8","16.2",1000,1
"Pooh Richardson",1.59893563636364,"47.0","14.9",639,1
"Mitch Richmond",3.75792857142857,"49.7","17.6",976,1
"Isaiah Rider",2.93319966666667,"48.4","14.7",563,1
"Eric Riley",0.2685412,"45.6","12.5",186,2
"Doc Rivers",0.90434375,"46.9","16.6",864,2
"Fred Roberts",0.513583333333333,"50.8","12.6",818,2
"Stanley Roberts",2.361228,"49.9","13.6",300,1
"Alvin Robertson",0.9615,"49.0","17.0",779,1
"Clifford Robinson",3.2141875,"47.5","14.5",1380,2
"David Robinson",7.6752945,"51.9","26.2",987,1
"Glenn Robinson",5.945,"48.5","17.5",688,1
"James Robinson",1.1854167,"47.0","11.2",381,1
"Rumeal Robinson",0.801625,"45.6","12.9",336,1
"Dennis Rodman",2.6805,"52.9","14.6",911,2
"Carlos Rogers",1.47091875,"54.5","15.4",298,1
"Rodney Rogers",2.01666666666667,"49.4","14.4",866,1
"Roy Rogers",0.659628,"48.4","12.1",137,1
"Tree Rollins",0.78,"52.2","13.6",1156,1
"Sean Rooks",1.3463,"45.9","12.0",749,2
"Jalen Rose",3.84540625,"47.7","15.3",923,1
"Malik Rose",1.342875,"43.8","13.4",813,2
"Clifford Rozier",0.71145,"49.8","11.9",173,1
"Bryon Russell",2.34422233333333,"49.6","12.6",841,2
"John Salley",1.68866666666667,"50.6","12.8",748,1
"Ralph Sampson",2.336,"48.7","16.0",456,1
"Danny Schayes",1.09988772727273,"48.1","13.4",1138,1
"Steve Scheffler",0.234285714285714,"56.0","13.5",174,2
"Dwayne Schintzius",0.610055555555555,"40.5","9.4",217,1
"Detlef Schrempf",2.48152775,"51.3","17.2",1136,1
"Byron Scott",1.00075,"51.4","15.5",1073,1
"Dennis Scott",2.09125,"50.2","13.4",629,1
"Malik Sealy",1.19375,"44.4","13.6",493,1
"Rony Seikaly",2.7681,"48.4","15.7",678,1
"Brian Shaw",1.82448766666667,"43.7","11.7",943,1
"Lionel Simmons",2.38137777777778,"43.7","14.7",454,1
"Dickey Simpkins",0.882698333333333,"44.1","9.5",327,1
"Scott Skiles",1.28666666666667,"48.5","14.4",600,1
"Charles Smith",2.4960286,"47.7","15.7",564,1
"Doug Smith",1.479,"42.6","11.7",296,1
"Joe Smith",2.72430857142857,"45.6","15.4",1030,1
"Kenny Smith",1.5715125,"52.5","14.9",737,1
"Michael Smith",1.71333333333333,"53.8","13.9",449,2
"Steve Smith",4.70526363636364,"49.4","16.1",942,1
"Tony Smith",0.509642857142857,"45.6","11.4",457,2
"Rik Smits",3.97727272727273,"50.7","17.9",867,1
"Eric Snow",1.73287142857143,"43.0","12.2",846,2
"Felton Spencer",1.55794575,"48.4","10.8",640,1
"Latrell Sprewell",5.656,"46.4","15.1",913,1
"Jerry Stackhouse",3.81119428571429,"44.6","16.5",970,1
"Bryant Stith",3.0181,"45.6","12.8",586,1
"John Stockton",4.24642857142857,"54.6","21.8",1504,1
"Damon Stoudamire",6.77010857142857,"46.4","15.4",878,1
"Rod Strickland",3.01892307692308,"46.2","18.0",1094,1
"Derek Strong",1.61542,"43.2","13.8",456,2
"Bob Sura",2.72703614285714,"46.0","14.3",657,1
"Roy Tarpley",0.876666666666667,"48.4","18.4",280,1
"Maurice Taylor",2.47564,"46.7","13.1",534,1
"Isiah Thomas",2.27866666666667,"46.5","18.1",979,1
"Kurt Thomas",2.210905,"48.7","13.9",1110,1
"Tim Thomas",4.75076,"49.7","14.0",824,1
"LaSalle Thompson",1.4241875,"49.2","13.6",985,1
"Otis Thorpe",2.82703076923077,"54.6","16.0",1257,1
"Wayman Tisdale",2.29211111111111,"50.5","15.7",840,1
"Tom Tolbert",0.440333333333333,"46.8","10.5",312,2
"Gary Trent",1.37755128571429,"50.1","15.9",506,1
"Jeff Turner",0.812,"47.8","8.4",612,1
"Nick Van Exel",4.25769511111111,"47.1","15.8",880,2
"Keith Van Horn",5.805306,"48.2","16.8",575,1
"Kiki Vandeweghe",0.6778,"53.4","18.4",810,1
"Jacque Vaughn",0.833106,"44.5","10.1",776,1
"Loy Vaught",2.86617083333333,"50.6","15.4",689,1
"Antoine Walker",5.99518,"46.1","16.0",893,1
"Samaki Walker",1.89593116666667,"46.2","12.7",445,1
"John Wallace",1.58985333333333,"46.5","14.0",381,1
"Rasheed Wallace",7.52601142857143,"50.7","17.0",1109,1
"Rex Walters",1.0578125,"51.4","11.2",335,1
"Charlie Ward",2.3913125,"50.2","13.8",630,1
"Clarence Weatherspoon",2.41716666666667,"47.2","15.6",915,1
"Chris Webber",8.15888888888889,"48.7","20.9",831,1
"Bill Wennington",0.826666666666667,"46.0","10.9",720,1
"Doug West",1.895,"48.4","11.5",676,2
"Mark West",1.03836363636364,"58.0","12.0",1090,2
"Chris Whitney",1.2653625,"48.3","13.8",579,2
"Morlon Wiley",0.2274,"47.5","10.6",295,2
"Dominique Wilkins",2.00825,"47.8","21.6",1074,1
"Gerald Wilkins",1.40483636363636,"47.0","13.0",900,2
"Buck Williams",2.15536363636364,"54.9","15.3",1307,1
"Eric Williams",2.49678857142857,"44.0","11.7",658,1
"Herb Williams",1.0019667,"46.8","13.6",1102,1
"Hot Rod Williams",3.16,"48.0","15.6",887,2
"Jayson Williams",5.25416666666667,"44.0","15.1",475,1
"Jerome Williams",2.06311333333333,"50.2","15.9",587,1
"John Williams",0.7875,"45.9","14.6",435,1
"Micheal Williams",1.755,"47.1","17.9",413,2
"Monty Williams",0.865478571428571,"48.2","12.8",456,1
"Reggie Williams",1.27664285714286,"46.4","14.2",599,1
"Walt Williams",2.73935,"49.4","14.2",708,1
"Corliss Williamson",2.16764571428571,"49.0","14.9",822,1
"Kevin Willis",2.11326923076923,"48.8","15.7",1424,1
"David Wingate",0.56477775,"45.5","10.0",740,2
"Joe Wolf",0.490037,"42.7","7.8",592,1
"Orlando Woolridge",1.06128571428571,"51.4","16.6",851,1
"Haywoode Workman",0.688,"45.2","12.0",359,2
"James Worthy",1.63333333333333,"52.5","17.7",926,1
"Lorenzen Wright",3.32578666666667,"45.9","13.3",778,1
"Sharone Wright",3.024,"45.6","12.8",203,1
